;reviewId;userName;userImage;content;score;thumbsUpCount;reviewCreatedVersion;at;replyContent;repliedAt
24;gp:AOqpTOFElrh72KZvA2nD8hVZuS6JYomruDvw3Mj2uEiDtks4JnmI1TwzOkT0vVnVKxwL2SeMIVHTXDX4b9REBA;Amanda Chaves I;https://play-lh.googleusercontent.com/-wZ14w04VrKE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmqazqcA_TMQt-yAsT40ZiVJF69RA/photo.jpg;Otimo;5;0;10.154.2;2021-04-28 00:43:20;;
25;gp:AOqpTOGxPvTenZBBJJJEDYGSok2yu_kfvGaxX9dGqXOSjWtqEGi71b-HKoMFIBYVKRerOFt0fNL6tJVoYLXrKQ;Yuri do Rozario Silva;https://play-lh.googleusercontent.com/-bc6YJsHVlW4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmPNl-lz1fq9IhAlI17NmmnKpvy_Q/photo.jpg;Flamengo;5;0;;2021-04-28 00:42:42;;
26;gp:AOqpTOFTf9can0G17bT1Y6N6vXBFzIoxNcS1IkJJoJBf--VAkoOJ0oRx4igPrSVtRzVOeAXCIYzc0G7mIJuVwA;Ana Clara Miranda;https://play-lh.googleusercontent.com/a-/AOh14GgeEZ_2rrdLRhHAx9NNqpKDGbyshpl3F_DuZ0vh;Não consegui recuperar minha conta de jeito nenhum, já tentei umas 6 vezes e toda vez envião um e-mail recusando o meu pedido de recuperação de conta;1;0;10.154.2;2021-04-28 00:39:16;;
27;gp:AOqpTOH2O63jRWRy72BW7AHLbwMaMBE7OPtied2xprcUc10uDxuaOVcHLclhBuwiMCexTTpL0X8aAeDPewQMeg;Damiao faustino;https://play-lh.googleusercontent.com/a-/AOh14Ggknb4i1RQm5yCFKcFQS3r5HmT8RPQW99SlM3zD;Ótimo;5;0;10.154.2;2021-04-28 00:39:06;;
28;gp:AOqpTOGmc9VZwTwEUqrA_wASJPv55Vd9DhuO4NwPpryyG9kcLj70Ov02NtB52FQ4DaZjxLXpQEyUXBvXhrsETQ;Geranice Rodrigues;https://play-lh.googleusercontent.com/-5mn1oA3Z8ds/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmr3GC85Ur3q-9eBjKj5Op5mMeKqQ/photo.jpg;Rápido e seguro;5;0;;2021-04-28 00:38:58;;
29;gp:AOqpTOHLbqBdKmT9CyvwwcI3INSH0i7Bws6cdToVrJYx4RMwjAEkUjiwskZVLN8hcAcMxSP0EqA3HM7NKkX4nw;Fernando Santos;https://play-lh.googleusercontent.com/-a9rHO6MTaCU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnjhmyvK6bgmPrHXK4inh1J6LfebA/photo.jpg;Parabéns minha entrega chegou no prazo exato;5;0;10.154.2;2021-04-28 00:38:14;;
30;gp:AOqpTOFqf2zJ0_OANFTlgMYVDp2EiRXFNuOJzR_2CkSypSVjeZFfRhEf4wBAtBIp-iSWb5SXfoTTpwhjUgCyCA;Um usuário do Google;https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g;"ótimo app, completo, rápido e seguro, porém no meu ponto de vista eles não deveriam utilizar as notificações para divulgar propaganda. Notificação é para coisa importante como ""você vendeu um produto"" ou ""o vendedor cancelou sua compra"". De tanta propaganda eu desabilitei as notificações, e eventualmente perco avisos úteis e importantes.";3;0;;2021-04-28 00:38:07;;
31;gp:AOqpTOGHhYMCMKdhpas5xZHlD7dl9fAyBmDsMnaeUtPpBHxdxBReVUh-d-DLPdEEfV-7wesJA6fyoA3fX-fxOw;Cristiane Moreira;https://play-lh.googleusercontent.com/a-/AOh14GjBQvnGSZG5ERo6q_Kbr0bDH1ibTcmmxbsdWGnO-w;Adoro;5;0;10.154.2;2021-04-28 00:35:50;;
32;gp:AOqpTOEbAXqeEAxc-ZOJ8iXtStuS9-qsXT0F9OSuIIAtyygXf2Pv6T56UWPQJSfm6um-ijglz2x7wZl0wtRBcw;Rodrigo Figueiredo;https://play-lh.googleusercontent.com/a-/AOh14GiNRJbfUD4J4v64dgEkg5JZ9IpeL1oblDGCcTzC;Pede para confirmar um cpf que não é o meu, eu envio o correto e recusam. Sempre usei o app, tenho muitas compras já realizadas, nível 4 e só agora está essa palhaçada.;1;0;10.154.2;2021-04-28 00:35:31;;
33;gp:AOqpTOFMFtnsC_KK8AkEdUESLar1AfwfflphywTYO3Dx_iN6UEZ0gu_dAUV1an_OcnMiPqNjeIfSmssgjtR5xQ;João Claudio Matta;https://play-lh.googleusercontent.com/a-/AOh14GgZNZ5zXYOxuAMXONg59ZK5qTHYGAbJ-3A-phgpGQ;Experiência fantástica;5;0;10.154.2;2021-04-28 00:33:48;;
